,090_day_forecast
0,39.0
1,64.0
2,31.0
3,18.0
4,24.0
5,27.0
6,36.0
7,43.0
8,40.0
9,13.0
10,23.0
11,26.0
12,11.0
13,35.0
14,11.0
15,36.0
16,48.0
17,17.0
18,45.0
19,32.0
20,50.0
21,34.0
22,20.0
23,27.0
24,19.0
25,19.0
26,27.0
27,26.0
28,29.0
29,18.0
30,15.0
31,17.0
32,25.0
33,50.0
34,12.0
35,26.0
36,38.0
37,12.0
38,32.0
39,31.0
40,109.0
41,35.0
42,75.0
43,20.0
44,19.0
45,60.0
46,17.0
47,42.0
48,13.0
49,29.0
50,11.0
51,39.0
52,18.0
53,19.0
54,34.0
55,12.0
56,11.0
57,19.0
58,42.0
59,75.0
60,12.0
61,12.0
62,22.0
63,11.0
64,26.0
65,14.0
66,14.0
67,31.0
68,21.0
69,120.0
70,28.0
71,36.0
72,42.0
73,12.0
74,24.0
75,17.0
76,20.0
77,47.0
78,17.0
79,23.0
80,32.0
81,35.0
82,22.0
83,28.0
84,26.0
85,11.0
86,11.0
87,25.0
88,69.0
89,20.0
90,53.0
91,25.0
92,11.0
93,40.0
94,45.0
95,21.0
96,19.0
97,37.0
98,16.0
99,30.0
